Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Mednyánszky, Ladislav";"1880 - 1900";"19. storočie, koniec, 1880-1900";;;;;"O 4991";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 54.0 cm; šírka 44.5 cm";"12.10.1972";"Fajčiaci muž v modrom";"Fajčiaci muž v modrom | Štúdia fajčiaceho paholka v klobúku (Predchádzajúci názov); Man in Blue Smoking (Preklad názvu)";"SNG";"SVK:SNG.O_4991";"POZN: ";"18400";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Mednyánszky, Ladislav";"1878 - 1879";"19. storočie, 1878 - 1879";;;;;"O 4994";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 34.0 cm; šírka 49.0 cm";"12.10.1972";"Ohyb rieky Poprad pri Strážkach";"Ohyb rieky Poprad pri Strážkach | Ohyb rieky Poprad v okolí Strážok (Predchádzajúci názov); The Poprad River Bend near Strážky (Preklad názvu)";"SNG";"SVK:SNG.O_4994";"POZN: ";"18403";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina | Obec | Rieka"
"Mednyánszky, Ladislav";"1895 - 1897";"19. storočie, koniec, 1895-1897";;;;;"O 4996";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 41.0 cm; šírka 30.0 cm";"12.10.1972";"Letný deň. Pastierka s kozou";"Letný deň. Pastierka s kozou | Náčrt jesennej krajiny s pastierkou (Predchádzajúci názov); Summer Day. Goatsherd with a Goat (Preklad názvu)";"SNG";"SVK:SNG.O_4996";"POZN:";"18405";"pozostalosť";"";"Dielo katalogizované";"originál";;;"náčrt";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neoznačené";"krajina s figurálnym motívom"
"Mednyánszky, Ladislav";"1895";"19. storočie, koniec, 1890-1895";;;;;"O 4997";"1.1.1982";;"Beňová, Katarína";"plátno";"výška : 51.0 cm; šírka: 40.0 cm";"12.10.1972";"Profil umelcovho otca s cvikrom. ";"Profil umelcovho otca s cvikrom.  | Štúdia hlavy starého pána s cvikrom (Predchádzajúci názov); Painter's Father Profile with Pince-nez (Preklad názvu)";"SNG";"SVK:SNG.O_4997";"POZN: 

LIT:
Ladislav Mednyánszky. 1852-1919. Bratislava : Slovak National Gallery and Slovart, 2004, 476.";"18406";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Mednyánszky, Ladislav";"1895 - 1900";"";;;;;"O 4999";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 50.0 cm; šírka 39.0 cm";"12.10.1972";"Svetlovlasý chlapec s červenou bodkou na pozadí.";"Svetlovlasý chlapec s červenou bodkou na pozadí. | Štúdia hlavy prostovlasého mládenca (Predchádzajúci názov); Fair-Headed Boy with Red Point in the Background (Preklad názvu)";"SNG";"SVK:SNG.O_4999";"POZN: 

LIT:
Ladislav Mednyánszky : Kaštieľ Strážky : katalóg stálej expozície. 1. vyd. Bratislava : Slovenská národná galéria, 2009, 51.";"18408";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Ginovský, Jozef";"1826";"19. storočie, 1. polovica, 1826";"3.12.1949";;;;"O 4";"1.1.1982";"6. NK";"Beňová, Katarína";"plátno";"výška 62.5 cm; šírka 49.0 cm";"3.12.1949";"Podobizeň mladej dámy v modrom šate";"Podobizeň mladej dámy v modrom šate | Portrait of a Young Lady in a Blue Dress (Preklad názvu)";"SNG";"SVK:SNG.O_4";"POZN: ";"3";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Joz.Ginovský 1826 Wien";"portrét"
"Mednyánszky, Ladislav";"1895 - 1900";"19. storočie, koniec, 1895-1900";;;;;"O 5002";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 49.5 cm; šírka 39.5 cm";"12.10.1972";"Hlava dedinčanky v tmavej šatke";"Hlava dedinčanky v tmavej šatke | Head of a Villager in a Dark Scarf (Preklad názvu)";"SNG";"SVK:SNG.O_5002";"POZN: ";"18411";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Mednyánszky, Ladislav";"1900 - 1910";"20. storočie, 1900 - 1910";;;;;"O 5004";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 49.0 cm; šírka 34.0 cm";"12.10.1972";"Dedinské dievča v poli. ";"Dedinské dievča v poli.  | Dievča v poli (Predchádzajúci názov); Girl on a Field (Preklad názvu)";"SNG";"SVK:SNG.O_5004";"POZN: 

LIT:
Ladislav Mednyánszky : Kaštieľ Strážky : katalóg stálej expozície. 1. vyd. Bratislava : Slovenská národná galéria, 2009, 50.";"18413";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnym motívom"
"Mednyánszky, Ladislav";"1880 - 1900";"19. storočie, koniec, 1880-1900";;;;;"O 5006";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 41.0 cm; šírka 32.0 cm";"12.10.1972";"Mládenec s veľkým uchom v klobúčiku ";"Mládenec s veľkým uchom v klobúčiku  | Hlava mládenca v klobúčiku na tmavom pozadí (Predchádzajúci názov); Lad with a Large Ear and a Small Hat (Preklad názvu)";"SNG";"SVK:SNG.O_5006";"POZN: ";"18415";"pozostalosť";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Mednyánszky, Ladislav";"1895 - 1900";"19. storočie, koniec, 1895-1900";;;;;"O 5009";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 46.0 cm; šírka 37.5 cm";"12.10.1972";"Koniec života. Starecký pár v noci. ";"Koniec života. Starecký pár v noci.  | Nočná štúdia stareckého páru (Predchádzajúci názov); End of Life. Elderly Couple at Night (Preklad názvu)";"SNG";"SVK:SNG.O_5009";"POZN: 

LIT:
Ladislav Mednyánszky : Kaštieľ Strážky : katalóg stálej expozície. 1. vyd. Bratislava : Slovenská národná galéria, 2009, 51.";"18418";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Schleich - pravdepodobne";"1850 - 1870";"19. storočie, 2. polovica, 1850-1870";;;;;"O 500";"1.1.1982";;"Beňová, Katarína";"drevo";"výška 31.7 cm; šírka 26.0 cm";"19.5.1952";"Dáma s miniatúrou";"Dáma s miniatúrou | Lady with a Miniature (Preklad názvu)";"SNG";"SVK:SNG.O_500";"POZN: pozri kartu O 500 Stredoeurópsky maliar 19.stor.";"134";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Mednyánszky, Ladislav";"1900 - 1910";"20. storočie, 1900 - 1910";;;;;"O 5010";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 50.0 cm; šírka 61.0 cm";"12.10.1972";"V záhrade za stolom. ";"V záhrade za stolom.  | Záhrada so stolom (Predchádzajúci názov); In the Garden at the Table  (Preklad názvu)";"SNG";"SVK:SNG.O_5010";"POZN: 

LIT:
Ladislav Mednyánszky. 1852-1919. Bratislava : Slovak National Gallery and Slovart, 2004, 480.";"18419";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"krajina"
"Mednyánszky, Ladislav";"1880 - 1900";"19. storočie, koniec, 1880-1900";;;;;"O 5011";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 47.5 cm; šírka 36.5 cm";"12.10.1972";"Štúdia bradatého muža v čiernom obleku";"Štúdia bradatého muža v čiernom obleku | Study of a Bearded Man in a Black Suit (Preklad názvu)";"SNG";"SVK:SNG.O_5011";"POZN: ";"18420";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Mednyánszky, Ladislav";"1880 - 1900";"19. storočie, koniec, 1880-1900";;;;;"O 5016";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 21.0 cm; šírka 26.0 cm";"12.10.1972";"Jesenný svah so stromom";"Jesenný svah so stromom | Autumn Hillside with Trees (Preklad názvu)";"SNG";"SVK:SNG.O_5016";"POZN: ";"18425";"pozostalosť";"";"Dielo katalogizované";"originál";;;"náčrt";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Mednyánszky, Ladislav";"1914 - 1916";"20. storočie, 1914 - 1916";;;;;"O 5019";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 31.0 cm; šírka 39.5 cm";"12.10.1972";"Vojaci v skalách. ";"Vojaci v skalách.  | Náčrt skál v krajine (Predchádzajúci názov); Soldiers in the Rocks (Preklad názvu)";"SNG";"SVK:SNG.O_5019";"POZN: 

LIT:
Ladislav Mednyánszky. 1852-1919. Bratislava : Slovak National Gallery and Slovart, 2004, 489.";"18428";"pozostalosť";"";"Dielo katalogizované";"originál";;;"náčrt";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Stredoeurópsky maliar z 2. polovice 18. storočia";"1770 - 1790";"18. storočie, 2. polovica, 1770-1790";;;;;"O 501";"1.1.1983";;"Chmelinová, Katarína";"tabuľa, drevená";"výška 20.9 cm; šírka 25.4 cm";"1.1.1952";"Romantická krajina s figurálnou štafážou";"Romantická krajina s figurálnou štafážou | Romantic Landscape with Figural Staffage (Preklad názvu)";"SNG";"SVK:SNG.O_501";"POZN: ";"134";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou štafážou"
"Mednyánszky, Ladislav";"1880 - 1900";"19. storočie, koniec, 1880-1900";;;;;"O 5022";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 32.0 cm; šírka 48.0 cm";"12.10.1972";"Štúdia nočnej krajiny";"Štúdia nočnej krajiny | Study of a Night Landscape (Preklad názvu)";"SNG";"SVK:SNG.O_5022";"POZN: ";"18431";"pozostalosť";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Mednyánszky, Ladislav";"1880 - 1900";"19. storočie, koniec, 1880-1900";;;;;"O 5023";"1.1.1982";;"Beňová, Katarína";"plátno";"výška 42.0 cm; šírka 34.0 cm";"12.10.1972";"Náčrt hlavy fajčiaceho mladého muža";"Náčrt hlavy fajčiaceho mladého muža | Sketch of a Head of a Smoking Young Man (Preklad názvu)";"SNG";"SVK:SNG.O_5023";"POZN: ";"18432";"pozostalosť";"";"Dielo katalogizované";"originál";;;"náčrt";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Mednyánszky, Ladislav - pravdepodobne";"1880 - 1885";"19. storočie, koniec, 1880-1885";;;;;"O 5028";"1.1.1984";;"Beňová, Katarína";"lepenka";"výška 43.5 cm; šírka 33.0 cm";"12.10.1972";"Lesný interiér";"Lesný interiér | Forest Interior (Preklad názvu)";"SNG";"SVK:SNG.O_5028";"POZN: ";"18437";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Ostade, Adriaen van - autor predlohy";"1760 - 1780";"18. storočie, 2. polovica, 1760-1780";;;;;"O 504";"1.1.1983";;"Ludiková, Zuzana";"tabuľa, drevená";"výška 27.3 cm; šírka 37.5 cm";"1.1.1952";"Ruvačka kartárov";"Ruvačka kartárov | Card-Players Fighting  (Preklad názvu)";"SNG";"SVK:SNG.O_504";"POZN: Autor: Holandský maliar zo 17.storočia - kópia

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 187.";"134";"prevod";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Czobelová st., Margita";"1895 - 1900";"19. storočie, koniec, 1895-1900";;;;;"O 5078";"1.1.1984";;"Beňová, Katarína";"plátno";"výška 30.0 cm; šírka 23.0 cm";"12.10.1972";"Autorkine deti v parku";"Autorkine deti v parku | Deti v parku; The Author's Children in a Park (Preklad názvu)";"SNG";"SVK:SNG.O_5078";"POZN: Marianna, Margita a Štefan Czóbelovci";"18487";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou štafážou"
"Rakúsky maliar z 2. polovice 18. storočia";"1780 - 1800";"18. storočie, 2. polovica, 1780-1800";"19.5.1952";;;;"O 507";"1.1.1983";;"Ludiková, Zuzana";"lepenka";"výška 44.5 cm; šírka 23.5 cm";"19.5.1952";"Posledný súd";"Posledný súd | The Last Judgment (Preklad názvu)";"SNG";"SVK:SNG.O_507";"POZN: ";"1016";"prevod";"";"Dielo katalogizované";"kópia ?";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Zoller, Josef Anton";"1785";"18. storočie, 2. polovica, 1785";;;;;"O 508";"1.1.1983";;"Chmelinová, Katarína";"plátno";"výška 50.0 cm; šírka 36.0 cm";"1.1.1952";"Odovzdávanie kľúčov Petrovi";"Odovzdávanie kľúčov Petrovi | Delivery of the Keys to Saint Peter (Preklad názvu)";"SNG";"SVK:SNG.O_508";"POZN: ";"134";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: na kameni Ant.Zoller pinxit 1785";"náboženský motív"
"Neznámy maliar | Neznámy rezbár";"1584";"16. storočie, 2. polovica, 1584";;"obraz je súčasťou epitafu O 5093";;;"O 5092";"1.1.1982";;"Chmelinová, Katarína";"drevo";"výška 140.0 cm; šírka 124.0 cm";"12.10.1972";"Epitaf s Ukrižovaním";"Epitaf s Ukrižovaním | Epitaph with Crucifixion (Preklad názvu)";"SNG";"SVK:SNG.O_5092";"POZN: ";"18501";"pozostalosť";"10, Slovenská národná galéria, SNG, Bratisl..., digitalizácia, Krajčovičová, Jana, Hergott, Vladimír, voľným okom, vyhovujúce | 10, Slovenská národná galéria, SNG, Bratisl..., digitalizácia, Krajčovičová, Jana, Hergott, Vladimír, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Sustris, Lambert";"1540 - 1560";"16. storočie, polovica, 1550 okolo";"13.11.1975";;;;"O 5116";"1.1.1982";"109. NK";"Ludiková, Zuzana";"papier; plátno";"obraz: výška 39.7 cm, šírka 30.9 cm; rám: výška 51.0 cm, šírka 44.0 cm";"13.11.1975";"Štúdia hlavy mladého muža";"Štúdia hlavy mladého muža | Hlava mladého muža - pôvodne; Head Study of a Young Man (Preklad názvu)";"SNG";"SVK:SNG.O_5116";"POZN:";"18001";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Neznámy maliar";"1660 - 1700";"17. storočie, 2. polovica, 1660-1700";"13.11.1975";;;;"O 5117";"1.1.1982";"109. NK";"Chmelinová, Katarína";"drevo";"výška 25.5 cm; šírka 21.0 cm";"13.11.1975";"Smrť svätého Františka z Assisi";"Smrť svätého Františka z Assisi | Death of Saint Francis of Assisi (Preklad názvu)";"SNG";"SVK:SNG.O_5117";"POZN: ";"18002";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Marko ml., Karol";"1870";"19. storočie, 2. polovica, 1870";"13.11.1975";;;;"O 5118";"1.1.1989";"109. NK";"Beňová, Katarína";"plátno";"výška 39.5 cm; šírka 65.0 cm";"13.11.1975";"Krajina s riekou a skupinou stromov";"Krajina s riekou a skupinou stromov | Landscape with a River and Group of Trees (Preklad názvu)";"SNG";"SVK:SNG.O_5118";"POZN: ";"17986";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"";"krajina s figurálnou štafážou"
"Hanula, Jozef";"1920 - 1930";"20. storočie, 1. polovica, 1920-1930";"13.11.1975";;;;"O 5119";"1.1.1982";"109. NK";"Beňová, Katarína";"plátno";"výška 59.5 cm; šírka 79.8 cm";"13.11.1975";"Krajina s pastierom";"Krajina s pastierom | Landscape with a Herdsman (Preklad názvu)";"SNG";"SVK:SNG.O_5119";"POZN: ";"17985";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"dole: Hanula";"krajina"
"Stredoeurópsky maliar z 1. polovice 19. storočia";"1800 - 1850";"19. storočie, 1. polovica, 1800-1850";"13.11.1975";;;;"O 5120";"1.1.1982";"109. NK";"Beňová, Katarína";"plátno";"výška 34.0 cm; šírka 43.5 cm";"13.11.1975";"Hlava Krista";"Hlava Krista | Head of Christ (Preklad názvu)";"SNG";"SVK:SNG.O_5120";"POZN: ";"17984";"kúpa";"";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";""
"Scheidlin, Friedrich Carl von";"1860 - 1870";"19. storočie, 2. polovica, 1860 po";"13.11.1975";;;;"O 5122";"1.1.1982";"109. NK";"Beňová, Katarína";"plátno";"výška 40.0 cm; šírka 29.0 cm";"13.11.1975";"Starý sedliacky dvor v Jure";"Starý sedliacky dvor v Jure | Old Farm Yard in Jur (Preklad názvu)";"SNG";"SVK:SNG.O_5122";"POZN: Scheidlin Fridrich Karl";"17982";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"dedinská veduta"
"Bohúň, Peter Michal";"1853";"19. storočie, polovica, 1853";"1.1.1975";;;;"O 5125";"1.1.1988";"109. NK";"Beňová, Katarína";"plátno";"výška 102.0 cm; šírka 68.8 cm";"1.1.1975";"Charlota Ballová, rod. Hoffmannová";"Charlota Ballová, rod. Hoffmannová | Charlota Ballo, née Hoffmann (Preklad názvu)";"SNG";"SVK:SNG.O_5125";"POZN: pandant k číslu O 5124";"17980";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole na rohu stolíka: PB 1853";"portrét"
"Neznámy maliar";"1760 - 1800";"18. storočie, 2. polovica, 1760-1800";"13.11.1975";"súčasť neúplného cyklu alegórií mesiacov,O 5128 pendant";;;"O 5129";"1.1.1982";"109. NK";"Chmelinová, Katarína";"sklo";"výška 35.0 cm; šírka 43.5 cm";"13.11.1975";"Alegória mesiaca máj";"Alegória mesiaca máj | Allegory of the Month of May (Preklad názvu)";"SNG";"SVK:SNG.O_5129";"POZN: ";"18000";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"maľba na skle";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"dole v strede: Május";"alegorická kompozícia"
"Katona, Ferdinand";"1900 - 1910";"20. storočie, začiatok, 1900 po";"13.11.1975";;;;"O 5130";"1.1.1982";"109. NK";"Beňová, Katarína";"lepenka";"výška 22.5 cm; šírka 35.0 cm";"13.11.1975";"Tatranský motív";"Tatranský motív | Tatras Motif (Preklad názvu)";"SNG";"SVK:SNG.O_5130";"POZN: ";"17994";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Katona Nándor";"krajina"
"Stredoeurópsky maliar zo 17. storočia";"1620 - 1630";"17. storočie, 1. polovica, 1620-1630";"1.1.1975";;;;"O 5131";"1.1.1983";"109. NK";"Chmelinová, Katarína";"plátno";"výška 22.0 cm; šírka 16.5 cm";"1.1.1975";"Hlava chlapca";"Hlava chlapca | Boy's Head (Preklad názvu)";"SNG";"SVK:SNG.O_5131";"POZN: ";"18003";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Tivoli, Rosa da - okruh autora | Talianský maliar zo začiatku 18. storočia | Roos, Philip Peter";"1700 - 1730";"18. storočie, 1. polovica, 1700-1730";"13.11.1975";"pendant O 5133";;;"O 5132";"1.1.1982";"109. NK";"Ludiková, Zuzana";"plátno";"výška 47.5 cm; šírka 61.0 cm";"13.11.1975";"Pastierska idyla v romantickej krajine so zrúcaninami";"Pastierska idyla v romantickej krajine so zrúcaninami |  Pastoral Idyll in the Romantic Landscape with Ruins (Preklad názvu)";"SNG";"SVK:SNG.O_5132";"POZN:";"18004";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"prírodný motív s figurálno-animálnou kompozíciou"
"Západoeurópsky monogramista W.P. z roku 1620";"1620 | 1657";"17. storočie, 1. polovica, 1620";"13.11.1975";;;;"O 5135";"1.1.1983";"109. NK";"Ludiková, Zuzana";"tabuľa, drevená";"výška 35.3 cm; šírka 51.2 cm";"13.11.1975";"Horská krajina s rybníkom";"Horská krajina s rybníkom | Mountain Landscape with a Pond (Preklad názvu)";"SNG";"SVK:SNG.O_5135";"POZN: rešt. Dorota Filová, 1979";"17990";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: zvyšky staršej nečitateľnej signatúry a 1657";"krajina"
"Severotaliansky maliar z konca 17. storočia";"1800 - 1900";"19. storočie, 1800-1900";"13.11.1975";;;;"O 5136";"1.1.1982";"109. NK";"Ludiková, Zuzana";"plátno";"obraz: výška 71.5 cm, šírka 58.0 cm; rám: výška 75.0 cm, šírka 62.0 cm";"13.11.1975";"Mária Magdaléna";"Mária Magdaléna | Mary Magdalene (Preklad názvu)";"SNG";"SVK:SNG.O_5136";"POZN:";"17991";"kúpa";"";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";"14.11.2007";"neznačené";"náboženský motív"
"Stredoeurópsky maliar z 18. storočia";"1740 - 1780";"18. storočie, 1740-1780";"13.11.1975";;;;"O 5137";"1.1.1983";"109. NK";"Chmelinová, Katarína";"plátno";"výška 100.0 cm; šírka 79.8 cm";"13.11.1975";"Ukrižovanie";"Ukrižovanie | Crucifixion (Preklad názvu)";"SNG";"SVK:SNG.O_5137";"POZN: ";"17992";"kúpa";"";"Dielo katalogizované";"kópia";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Lütgendorff, Ferdinand Karl Theodor";"1832";"19. storočie, 1. polovica, 1832";"13.11.1975";;;;"O 5139";"1.1.1984";"109. NK";"Beňová, Katarína";"plátno";"výška 61.5 cm; šírka 48.9 cm";"13.11.1975";"Muž v modrom redingote";"Muž v modrom redingote | Portrét muža s bokombradami-pôvod. názov; Man in a Blue Redingote (Preklad názvu)";"SNG";"SVK:SNG.O_5139";"POZN: ";"17988";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"portrét"
"Lütgendorff, Ferdinand Karl Theodor";"1834";"19. storočie, 1. polovica, 1834";"13.11.1975";;;;"O 5140";"1.1.1984";"109. NK";"Beňová, Katarína";"plátno";"výška 61.5 cm; šírka 48.0 cm";"13.11.1975";"Dáma v atlasových šatách s perlovým náhrdelníkom";"Dáma v atlasových šatách s perlovým náhrdelníkom | Portrét ženy s perlami-pôvodný názov; Lady in Satin Dress with Peal Necklace (Preklad názvu)";"SNG";"SVK:SNG.O_5140";"POZN:";"17989";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"portrét"
"Mednyánszky, Ladislav";"1900 - 1910";"20. storočie, začiatok, 1900-1910";"13.11.1975";;;;"O 5142";"1.1.1982";"109. NK";"Beňová, Katarína";"plátno";"výška 46.7 cm; šírka 33.5 cm";"13.11.1975";"Zimné slnko v krajine s potokom. Motív od Strážok.";"Zimné slnko v krajine s potokom. Motív od Strážok. | Zimná krajina (Predchádzajúci názov); Winter Sun in a Landscape with a Brook. Motif from Strážky (Preklad názvu)";"SNG";"SVK:SNG.O_5142";"POZN: ";"17996";"kúpa";"";"Dielo katalogizované";"originál";;;"náčrt";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Korboník";"1885";"19. storočie, 2. polovica, 1885";"13.11.1975";;;;"O 5144";"1.1.1982";"109. NK";"Beňová, Katarína";"plátno";"výška 42.0 cm; šírka 52.0 cm";"13.11.1975";"Pečenský les s dunajským ramenom";"Pečenský les s dunajským ramenom | Pečenský Forest with Danube River Branch (Preklad názvu)";"SNG";"SVK:SNG.O_5144";"POZN: Potschen-rameno Dunaja";"18008";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole: 85";"krajina"
"Neznámy maliar";"1750 - 1800";"18. storočie, 2. polovica, 1750-1800";"13.11.1975";;;;"O 5145";"1.1.1982";"109. NK";"Chmelinová, Katarína";"sklo";"výška 28.5 cm; šírka 21.5 cm";"13.11.1975";"Svätý Peter";"Svätý Peter | Saint Peter (Preklad názvu)";"SNG";"SVK:SNG.O_5145";"POZN: ";"18010";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"maľba na skle";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
